MB2013,AU2013
51408,501100
51409,501100
51501,501612
51502,501300
51504,501300
51506,501300
51507,501633
51601,501633
51700,501633
51800,501633
51900,501620
52001,501500
52002,501500
52100,501500
52200,501500
52300,501500
52400,501500
52501,501500
52502,501500
52600,501500
52700,501500
52800,501500
52902,500900
52903,500900
52904,500900
52905,500900
52906,500900
52907,500900
53001,500900
53002,500900
53003,500900
53004,500900
53005,500900
53101,500900
53102,500900
53200,500900
53301,500900
53303,500900
53304,500900
53305,500900
53403,500900
53404,500900
53405,500900
53406,500900
53407,500900
53408,500900
53502,500900
53503,500900
53504,500900
53505,500900
53506,500900
53507,500900
53508,500900
53509,500900
53600,500900
53700,501100
53800,501100
53900,501100
54000,501100
54100,501100
54200,501100
54300,501100
54400,501100
54501,501100
54502,501100
54600,501100
54700,501100
54801,501100
54802,501100
54900,501500
55000,501500
55100,501500
55200,501500
55300,501500
55400,501500
55500,501500
55600,501500
55700,501500
55801,501500
55802,501500
55900,501500
56001,501500
56002,501500
56100,501500
56200,501500
56300,501000
56400,501000
56500,501000
56600,501000
56700,501000
56800,501000
56900,501000
57000,501000
57100,501000
57201,501000
57202,501000
57300,501400
57400,501400
57500,501400
57600,501400
57700,501400
57800,501400
57900,501400
58000,501400
58100,501400
58200,501400
58300,501400
58400,501400
58500,501400
58600,501400
58700,501400
58800,501400
59200,501814
59301,501814
59400,501814
59500,501814
59600,501814
59700,501814
59800,501814
59900,501814
60000,501814
60100,501814
60200,501814
60300,501814
60400,501814
60500,501814
60600,501814
60700,501814
60800,501814
60900,501814
61000,501814
61100,501814
61200,501814
61300,501814
61400,501814
61502,501814
61600,501814
61700,501814
61801,501814
61802,502202
61803,502202
61804,502201
61805,502201
61806,502201
61807,502201
61808,502201
61901,501814
61902,501814
61904,501814
61905,501814
62002,501814
62102,501807
62105,501807
62106,501807
62107,501807
62108,501807
62109,501807
62110,501807
62202,501807
62203,501807
62204,501807
62205,501807
62206,501807
62301,501814
62303,501807
62304,501807
62401,501814
62402,501807
62501,501814
62502,501814
62503,501814
62504,501814
62505,501814
62506,501814
62507,501814
62600,501814
62702,501814
62703,501814
62704,501814
62705,501814
62800,501814
62900,504300
63000,504300
63100,504300
63200,504300
63300,504300
63400,504300
63500,504300
63600,504300
63701,502001
63703,502001
63704,502001
63705,502001
63801,502001
63803,502201
63804,502001
63805,502001
63900,502001
64000,502001
64100,502001
64200,502001
64300,502001
64401,504300
64402,502001
64501,501814
64503,501814
64504,501814
64600,501802
64700,501802
64800,501802
64900,501802
65000,501802
65101,501802
65102,501802
65200,501802
65300,501802
65400,501802
65500,501802
65600,501802
65700,501802
65800,501802
65900,501802
66000,501802
66100,501802
66200,501802
66300,501802
66400,501802
66500,501802
66600,501802
66700,501802
66800,501802
66900,501802
67000,501802
67100,501802
67200,501802
67300,501802
67400,501802
67500,501802
67600,501802
67700,501802
67800,501802
67900,501802
68000,501802
68100,501802
68200,501802
68300,501802
68400,501802
68500,501802
68600,501802
68700,501802
68801,501802
68802,501802
68900,501802
69000,501802
69100,501802
69201,501802
69202,501802
69300,501802
69402,502101
69403,502002
69404,502002
69500,502002
69603,502101
69604,502101
69606,502002
69607,502002
69608,502002
69609,502101
69700,502002
69800,502001
69900,501802
70001,501802
70002,501802
70003,501802
70100,501802
70201,502003
70202,502002
70203,503300
70205,503400
70206,503400
70207,503400
70208,503400
70209,503400
70300,502003
70400,502003
70501,502003
70502,502003
70503,502003
70504,502003
70505,502003
70506,502003
70600,503400
70700,501810
70801,501810
70802,501810
70903,501810
70904,501810
70905,501810
70906,502003
70907,502003
71001,501809
71002,501809
71003,501809
71004,501809
71005,501809
71006,501809
71007,501809
71100,501809
71200,501809
71301,501809
71302,501809
71400,501809
71500,501809
71600,501809
71701,501809
71702,501809
71800,501809
71901,501810
71902,501810
72000,501810
72101,501810
72102,501810
72200,501810
72300,501809
72401,501810
72402,501809
72403,501810
72404,501809
72501,501810
72502,501810
72601,502004
72603,502202
72604,502202
72605,502202
72606,502202
72607,502202
72702,503700
72703,502004
72704,502004
72705,502004
72706,502004
72801,502004
72802,502004
72900,501817
73001,501817
73002,501817
73003,501817
73004,501817
73005,501817
73006,501817
73101,501817
73102,501817
73103,501817
73104,501817
73105,501817
73200,504000
73301,501817
73302,501817
73400,501818
73501,501818
73503,501818
73504,501818
73505,501818
73601,501818
73602,501818
73701,501818
73703,501818
73704,501818
73705,501818
73706,501818
73802,501818
73805,501817
73806,501817
73900,501818
74001,501817
74004,501817
74005,501819
74101,501819
74102,501818
74203,501819
74204,501819
74205,501819
74206,501819
74207,501819
74208,501819
74209,501819
74210,501819
74211,501819
74304,501819
74305,501819
74306,501819
74307,501819
74308,501819
74309,501819
74310,501819
74311,501819
74312,501819
74400,501819
74501,501819
74502,501819
74601,502005
74602,502005
74701,503900
74702,502005
74703,502005
74704,502005
74801,502005
74802,502005
74803,502005
74900,501809
75001,501809
75002,501811
75100,501809
75200,501809
75300,501809
75401,501809
75402,501809
75403,501809
75404,501809
75500,501809
75601,502005
75602,502005
75700,501809
75800,502005
75900,502005
76000,502005
76100,502005
76200,502005
76300,502005
76400,502005
76500,502005
76701,501809
76800,501809
76901,504502
