Code,proportionToHere
37701,3.47E-06
37702,5.45E-06
37802,3.22E-05
37803,1.39E-05
37804,4.95E-06
37805,2.48E-06
37806,0
37807,8.40E-06
37901,6.93E-06
37902,0
38001,4.95E-06
38002,0
38100,1.29E-05
38200,8.89E-06
38300,5.94E-06
38400,4.95E-06
38500,9.87E-06
38600,9.87E-06
38700,1.09E-05
38800,4.95E-07
38900,3.96E-06
39000,1.58E-05
39100,3.96E-06
39200,6.93E-06
39300,2.48E-06
39400,1.48E-06
39500,9.38E-06
39600,8.40E-06
39701,1.98E-06
39702,2.97E-06
39800,3.96E-06
39900,1.88E-05
40001,0
40002,3.96E-06
40100,4.45E-06
40200,8.40E-06
40300,4.95E-06
40400,4.45E-06
40501,9.87E-06
40502,0
40601,5.94E-06
40602,0
40701,1.93E-05
40702,6.93E-06
40703,1.39E-05
40801,4.02E-05
40802,3.47E-06
40900,1.34E-05
41000,8.89E-06
41100,1.83E-05
41200,3.02E-05
41300,3.12E-05
41401,1.14E-05
41402,1.44E-05
41403,1.58E-05
41500,5.45E-06
41600,1.39E-05
41700,2.43E-05
41800,4.12E-05
41900,1.48E-05
42001,1.39E-05
42002,2.03E-05
42101,6.93E-06
42102,1.24E-05
42103,1.44E-05
42201,5.94E-06
42202,4.06E-05
42300,2.92E-05
42400,1.48E-05
42500,1.48E-05
42600,6.93E-06
42700,1.83E-05
42800,4.95E-07
42900,4.95E-06
43000,2.53E-05
43100,1.58E-05
43200,4.76E-05
43300,1.04E-05
43400,6.93E-06
43500,2.27E-05
43600,1.19E-05
43700,3.47E-06
43800,3.27E-05
43902,3.47E-06
43904,3.12E-05
43905,2.62E-05
43906,3.91E-05
43907,2.48E-05
44003,2.92E-05
44004,2.23E-05
44005,2.58E-05
44006,2.03E-05
44007,2.97E-06
44008,1.24E-05
44101,0
44102,3.66E-05
44201,8.89E-06
44202,0
44301,1.93E-05
44302,0
44402,1.48E-06
44403,0.000150989
44404,2.62E-05
44405,8.89E-06
44406,2.23E-05
44501,5.15E-05
44503,4.45E-06
44504,2.43E-05
44505,1.68E-05
44506,7.42E-06
44507,1.39E-05
44508,9.38E-06
44602,4.17E-05
44603,8.40E-06
44604,8.40E-06
44605,4.22E-05
44606,8.89E-06
44607,1.34E-05
44608,7.91E-06
44609,1.09E-05
44610,2.97E-06
44611,2.55E-05
44701,2.23E-05
44702,2.43E-05
44703,1.48E-06
44801,3.61E-05
44803,1.04E-05
44804,7.42E-06
44805,4.45E-06
44806,9.38E-06
44807,6.93E-06
44808,8.40E-06
44901,5.94E-06
44902,1.98E-06
45000,1.29E-05
45100,7.91E-06
45200,7.42E-06
45300,1.14E-05
45400,8.40E-06
45500,5.45E-06
45600,5.45E-06
45700,2.48E-06
45800,8.89E-06
45901,6.43E-06
45902,6.43E-06
46001,5.94E-06
46002,2.97E-06
46100,5.94E-06
46200,2.48E-06
46300,6.43E-06
46400,7.91E-06
46500,4.45E-06
46600,1.48E-06
46700,5.94E-06
46801,2.97E-06
46802,2.97E-06
46901,1.98E-06
46902,3.47E-06
47001,0
47002,6.43E-06
47100,3.47E-06
47200,3.47E-06
47301,6.43E-06
47302,3.96E-06
47400,9.87E-07
47500,4.45E-06
47601,2.48E-06
47602,9.87E-07
47603,8.40E-06
47701,7.42E-06
47702,4.95E-07
47801,1.98E-06
47802,1.48E-06
47901,9.87E-06
47902,4.95E-07
48001,1.98E-06
48003,0
48004,7.91E-06
48101,0
48102,8.55E-05
48201,0
48203,7.42E-06
48204,9.54E-05
48205,4.45E-06
48301,0
48303,1.29E-05
48304,7.42E-06
48403,0
48404,2.77E-05
48405,0
48406,0
48407,0
48408,1.74E-05
48409,4.47E-05
48410,1.83E-05
48500,1.29E-05
48601,0
48602,4.95E-07
48701,0
48702,1.44E-05
48800,3.96E-06
48900,5.45E-06
49000,9.38E-06
49102,1.34E-05
49103,0
49104,1.98E-06
49105,0
49203,0
49204,3.96E-05
49205,0
49206,2.27E-05
49302,3.32E-05
49303,6.93E-06
49304,3.96E-06
49305,8.40E-06
49306,8.89E-06
49307,7.42E-06
49401,6.20E-05
49403,3.96E-06
49404,1.48E-06
49405,1.29E-05
49406,9.38E-06
49407,1.44E-05
49501,4.95E-06
49502,5.94E-06
49503,1.19E-05
49504,0.000509728
49505,5.45E-06
49506,7.91E-06
49507,5.94E-06
