Code,uPeSqKm,sdPeSqKm,EA_Name
272,0,0,1218136_4764175
273,0,0,1217840_4770992
274,0,0,1218209_4780002
275,0,0,1217566_4789349
276,0,0,1218136_4800081
277,0,0,1215664_4808810
278,0,0,1216068_4852962
279,0,0,1218125_4860187
280,0,0,1218209_4870002
281,0,0,1218209_4880002
282,0,0,1218209_4890002
283,0,0,1218209_4900002
284,0,0,1218209_4910002
285,0,0,1218209_4920002
286,0,0,1218209_4930002
287,0,0,1218209_4940002
288,0,0,1218209_4950002
289,0,0,1218209_4960002
290,0,0,1218209_4970002
291,0,0,1218209_4980002
292,0,0,1218209_4990002
293,0,0,1218209_5000002
294,0,0,1218209_5010002
295,0,0,1218209_5020002
296,0,0,1218209_5030002
297,0,0,1218209_5040002
298,0,0,1218209_5050002
299,0,0,1218209_5060002
300,0,0,1218209_5070002
301,0,0,1218209_5080002
302,0,0,1218209_5090002
303,0,0,1220124_5098128
304,0,0,1224779_4769379
305,0,0,1226813_4775197
306,0,0,1226459_4784039
307,0,0,1226000_4795913
308,0,0,1224072_4801486
309,0,0,1227892_4843016
310,0,0,1227873_4856632
311,0,0,1226869_4865002
312,0,0,1226869_4875002
313,0,0,1226869_4885002
314,0,0,1226869_4895002
315,0,0,1226869_4905002
316,0,0,1226869_4915002
317,0,0,1226869_4925002
318,0,0,1226869_4935002
319,0,0,1226869_4945002
320,0,0,1226869_4955002
321,0,0,1226869_4965002
322,0,0,1226869_4975002
323,0,0,1226869_4985002
324,0,0,1226869_4995002
325,0,0,1226869_5005002
326,0,0,1226869_5015002
327,0,0,1226869_5025002
328,0,0,1226869_5035002
329,0,0,1226869_5045002
330,0,0,1226869_5055002
331,0,0,1226869_5065002
332,0,0,1226869_5075002
333,0,0,1226869_5085002
334,0,0,1226869_5095002
335,0,0,1227290_5104654
336,0,0,1229263_5113315
337,0,0,1233433_4772605
338,0,0,1233452_4780488
339,0,0,1233757_4789391
340,0,0,1235994_4801008
341,0,0,1238102_4832549
342,0,0,1236920_4840059
343,0,0,1235989_4850259
344,0,0,1235530_4860002
345,0,0,1235530_4870002
346,0,0,1235530_4880002
347,0,0,1235530_4890002
348,0,0,1235530_4900002
349,0,0,1235530_4910002
350,0,0,1235530_4920002
351,0,0,1235530_4930002
352,0,0,1235530_4940002
353,0,0,1235530_4950002
354,0,0,1235530_4960002
355,0,0,1235530_4970002
356,0,0,1235530_4980002
357,0,0,1235530_4990002
358,0,0,1235530_5000002
359,0,0,1235530_5010002
360,0,0,1235530_5020002
361,0,0,1235530_5030002
362,0,0,1235530_5040002
363,0,0,1235530_5050002
364,0,0,1235530_5060002
365,0,0,1235530_5070002
366,0,0,1235530_5080002
367,0,0,1235530_5090002
368,0,0,1235530_5100002
369,0,0,1235530_5110002
370,0,0,1235745_5116338
371,0,0,1239675_4795919
372,0,0,1248886_4805590
373,0,0,1243287_4827951
374,0,0,1244575_4836261
375,0,0,1245057_4845564
376,0,0,1244190_4855002
377,0,0,1244190_4865002
378,0,0,1244190_4875002
379,0,0,1244190_4885002
380,0,0,1244190_4895002
381,0,0,1244190_4905002
382,0,0,1244190_4915002
383,0,0,1244190_4925002
384,0,0,1244190_4935002
385,0,0,1244190_4945002
386,0,0,1244190_4955002
387,0,0,1244190_4965002
388,0,0,1244190_4975002
389,0,0,1244190_4985002
390,0,0,1244190_4995002
391,0,0,1244190_5005002
392,0,0,1244190_5015002
393,0,0,1244190_5025002
394,0,0,1244190_5035002
395,0,0,1244190_5045002
396,0,0,1244190_5055002
397,0,0,1244190_5065002
398,0,0,1244190_5075002
399,0,0,1244190_5085002
400,0,0,1244190_5095002
401,0,0,1244190_5105002
402,0,0,1244254_5114879
403,0,0,1246424_5121244
404,0,0,1253417_4804652
405,0,0,1256540_4810297
406,0,0,1249077_4823272
407,0,0,1252904_4831315
408,0,0,1252850_4840002
409,0,0,1252850_4850002
410,0,0,1252850_4860002
411,0,0,1252850_4870002
412,0,0,1252850_4880002
413,0,0,1252850_4890002
414,0,0,1252850_4900002
415,0,0,1252850_4910002
416,0,0,1252850_4920002
417,0,0,1252850_4930002
418,0,0,1252850_4940002
419,0,0,1252850_4950002
420,0,0,1252850_4960002
421,0,0,1252850_4970002
422,0,0,1252850_4980002
423,0,0,1252850_4990002
424,0,0,1252850_5000002
425,0,0,1252850_5010002
426,0,0,1252850_5020002
427,0,0,1252850_5030002
428,0,0,1252850_5040002
429,0,0,1252850_5050002
430,0,0,1252850_5060002
431,0,0,1252850_5070002
432,0,0,1252850_5080002
433,0,0,1252850_5090002
434,0,0,1252850_5100002
435,0,0,1252850_5110002
436,0,0,1252677_5117849
437,0,0,1257828_4807910
438,0,0,1259083_4811996
439,0,0,1258760_4829822
440,0,0,1261350_4835389
441,0,0,1261510_4845002
442,0,0,1261510_4855002
443,0,0,1261510_4865002
444,0,0,1261510_4875002
445,0,0,1261510_4885002
446,0,0,1261510_4895002
447,0,0,1261510_4905002
448,0,0,1261510_4915002
449,0,0,1261510_4925002
450,0,0,1261510_4935002
451,0,0,1261510_4945002
452,0,0,1261510_4955002
453,0,0,1261510_4965002
454,0,0,1261510_4975002
455,0,0,1261510_4985002
456,0,0,1261510_4995002
457,0,0,1261510_5005002
458,0,0,1261510_5015002
459,0,0,1261510_5025002
460,0,0,1261510_5035002
461,0,0,1261510_5045002
462,0,0,1261510_5055002
463,0,0,1261510_5065002
464,0,0,1261510_5075002
465,0,0,1261510_5085002
466,0,0,1261510_5095002
467,0,0,1261510_5105002
468,0,0,1261510_5115002
469,0,0,1263320_5121842
470,0,0,1265665_5133400
471,0,0,1269759_4834204
472,0,0,1270171_4840002
473,0,0,1270171_4850002
474,0,0,1270171_4860002
475,0,0,1270171_4870002
476,0,0,1270171_4880002
477,0,0,1270171_4890002
478,0,0,1270171_4900002
479,0,0,1270171_4910002
480,0,0,1270171_4920002
481,0,0,1270171_4930002
482,0,0,1270171_4940002
483,0,0,1270171_4950002
484,0,0,1270171_4960002
485,0,0,1270171_4970002
486,0,0,1270171_4980002
487,0,0,1270171_4990002
488,0,0,1270171_5000002
489,0,0,1270171_5010002
490,0,0,1270171_5020002
491,0,0,1270171_5030002
492,0,0,1270171_5040002
493,0,0,1270171_5050002
494,0,0,1270171_5060002
495,0,0,1270171_5070002
496,0,0,1270171_5080002
497,0,0,1270171_5090002
498,0,0,1270171_5100002
499,0,0,1270171_5110002
500,0,0,1270171_5120002
501,0,0,1271756_5128376
502,0,0,1269117_5135387
503,0,0,1282249_4826874
504,0,0,1279290_4835690
505,0,0,1278831_4845002
506,0,0,1278831_4855002
507,0,0,1278831_4865002
508,0,0,1278831_4875002
509,0,0,1278831_4885002
510,0,0,1278831_4895002
511,0,0,1278831_4905002
512,0,0,1278831_4915002
513,0,0,1278831_4925002
514,0,0,1278831_4935002
515,0,0,1278831_4945002
516,0,0,1278831_4955002
517,0,0,1278831_4965002
518,0,0,1278831_4975002
519,0,0,1278831_4985002
520,0,0,1278831_4995002
521,0,0,1278831_5005002
522,0,0,1278831_5015002
523,0,0,1278831_5025002
524,0,0,1278831_5035002
525,0,0,1278831_5045002
526,0,0,1278831_5055002
527,0,0,1278831_5065002
528,0,0,1278831_5075002
529,0,0,1278831_5085002
530,0,0,1278831_5095002
531,0,0,1278831_5105002
532,0,0,1278831_5115002
533,0,0,1278831_5125002
534,0,0,1280002_5133696
535,0,0,1288347_4824739
536,0,0,1287491_4830002
537,0,0,1287491_4840002
538,0,0,1287491_4850002
539,0,0,1287491_4860002
540,0,0,1287491_4870002
541,0,0,1287491_4880002
542,0,0,1287491_4890002
543,0,0,1287491_4900002
544,0,0,1287491_4910002
545,0,0,1287491_4920002
546,0,0,1287491_4930002
547,0,0,1287491_4940002
548,0,0,1287491_4950002
549,0,0,1287491_4960002
550,0,0,1287491_4970002
551,0,0,1287491_4980002
552,0,0,1287491_4990002
553,0,0,1287491_5000002
554,0,0,1287491_5010002
555,0,0,1287491_5020002
556,0,0,1287491_5030002
557,0,0,1287491_5040002
558,0,0,1287491_5050002
559,0,0,1287491_5060002
560,0,0,1287491_5070002
561,0,0,1287491_5080002
562,0,0,1287491_5090002
563,0,0,1287491_5100002
564,0,0,1287491_5110002
565,0,0,1287491_5120002
566,0,0,1287491_5130002
567,0,0,1287971_5139549
568,0,0,1290659_5147383
569,0,0,1295952_4826696
570,0,0,1296151_4835002
571,0,0,1296151_4845002
572,0,0,1296151_4855002
573,0,0,1296151_4865002
574,0,0,1296151_4875002
575,0,0,1296151_4885002
576,0,0,1296151_4895002
577,0,0,1296151_4905002
578,0,0,1296151_4915002
579,0,0,1296151_4925002
580,0,0,1296151_4935002
581,0,0,1296151_4945002
582,0,0,1296151_4955002
583,0,0,1296151_4965002
584,0,0,1296151_4975002
585,0,0,1296151_4985002
586,0,0,1296151_4995002
587,0,0,1296151_5005002
588,0,0,1296151_5015002
589,0,0,1296151_5025002
590,0,0,1296151_5035002
591,0,0,1296151_5045002
592,0,0,1296151_5055002
593,0,0,1296151_5065002
594,0,0,1296151_5075002
595,0,0,1296151_5085002
596,0,0,1296151_5095002
597,0,0,1296151_5105002
598,0,0,1296151_5115002
599,0,0,1296151_5125002
600,0,0,1296151_5135002
601,0,0,1296151_5145002
602,0,0,1297851_5152393
603,0,0,1302111_4824944
604,0,0,1304834_4830652
605,0,0,1304812_4840002
606,0,0,1304812_4850002
607,0,0,1304812_4860002
608,0,0,1304812_4870002
609,0,0,1304812_4880002
610,0,0,1304812_4890002
611,0,0,1304812_4900002
612,0,0,1304812_4910002
613,0,0,1304812_4920002
614,0,0,1304812_4930002
615,0,0,1304812_4940002
