Code,AU2013_NAM,area_sqkm,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
527600,Ohaupo,1.88769137,0,0,0,0,0,0.002665854,0.001332927,0.091635565,0.016883743,0.848160561,0.035322568,0,0,0.003998781
527700,Kihikihi,2.104412,0,0,0,0,0,0,0,0.52767341,0,0.47232659,0,0,0,0
527810,Peacocke,7.5412718,0,0,0.003684806,0,0,0.013050353,0.002210883,0.125858774,0.009212014,0.767720465,0.029513538,0.016581625,0,0.032167542
527820,Temple View,4.22159788,0,0,0.005358419,0,0,0,0.016968326,0.087729221,0.007144558,0.882799476,0,0,0,0
527912,Te Kowhai,34.1949476,0,0,0.015852553,0,0,0.011078658,0.017222278,0.022963038,0.015107262,0.891892436,0.012085809,0.002417162,0.007755061,0.003625743
527913,Whatawhata,58.1302698,0,0,0.020232619,0,0,0.013812654,0.005252699,0.032474571,0.012450843,0.889707662,0.013423565,0.008170865,0,0.004474522
527914,Ngahinapouri,132.917835,0,0,0.011034283,0,0,0.01178237,0,0.020927774,0.009725131,0.922693183,0.013016714,0.004488522,0,0.006332022
527915,Lake Cameron,36.8420441,0,0,0.037212259,0,0,0.020673477,0.001181342,0.052305304,0.001181342,0.860106658,0.00767872,0.002362683,0.004725366,0.012572849
527916,Horotiu,14.1863192,0,0,0.025707838,0,0,0.001861201,0.030011865,0.039899495,0,0.838168578,0.02966289,0,0.033292232,0.001395901
527917,Te Rapa North,3.88346651,0,0,0.115988676,0,0,0.015218758,0,0.193079719,0.011910332,0.544302182,0.026070394,0,0.091444884,0.001985055
527921,Te Rore,38.5777054,0,0,0.004520625,0,0,0.009041251,0.003390469,0.004520625,0.005650782,0.937841401,0.010171407,0.015257111,0,0.009606329
527922,Pirongia,28.9631933,0,0,0.005197805,0,0,0.005197805,0.006930407,0.05140052,0.010395611,0.895466359,0.012705746,0.004620271,0,0.008085475
527923,Pokuru,57.3615894,0,0,0.005069708,0,0,0.003379806,0.012392621,0.004647233,0.008449514,0.937520537,0.004506408,0.00187767,0,0.022156504
527924,Lake Ngaroto,38.1112556,0,0,0.003529565,0,0,0.013529999,0.002353043,0.012496341,0.008235652,0.940442792,0.012941738,0.001176522,0,0.005294348
527925,Tokanui,23.7045267,0,0,0,0,0,0.006082414,0,0.01980405,0.009731862,0.941268502,0.014597793,0.003649448,0,0.004865931
527931,Pukerimu,19.4205202,0,0,0.086939844,0,0,0.001442985,0.044852783,0.073522911,0.00480995,0.752243525,0.012808209,0.011784377,0.001803731,0.009791684
527932,Kaipaki,52.6047473,0,0,0.016152818,0,0,0.028963673,0.007240918,0.026494335,0,0.901374979,0.008633403,0,0.002227975,0.0089119
527934,Rotoorangi,229.982291,0,0,0.010922287,0,0,0.002113991,0.005284978,0.005014857,0.026601055,0.905140522,0.003170987,0.002642489,0,0.039108835
527935,Te Rahu,37.5777511,0,0,0.04862148,0,0,0.004594156,0,0.023022736,0.002297078,0.91227624,0.001148539,0,0,0.008039772
527936,Kihikihi Flat,18.3210219,0,0,0.003045893,0,0,0.009137678,0,0.131409641,0.004568839,0.839654379,0.004568839,0,0,0.007614731
527937,Allen Road,11.6036731,0,0,0.001397164,0,0,0,0.001397164,0.022692268,0,0.970321913,0.004191491,0,0,0
528000,Rotongata,211.525262,0,0,0.011272417,0,0,0.004099061,0.005123826,0,0.034158839,0.817250213,0.012297182,0.01588386,0,0.099914603
528200,Ngaruawahia,7.59099844,0,0,0,0,0,0.00911307,0,0.245711161,0.008885244,0.622604971,0.05764017,0.035540975,0.005467842,0.015036566
528310,Bryant,2.89746683,0,0,0,0,0,0,0,0.961383842,0,0,0.028107426,0,0,0.010508732
528320,Pukete,1.09168473,0,0,0,0,0,0,0,0.861706246,0,0.07913082,0.048795828,0,0,0.010367107
528402,Pukete West,0.8393171,0,0,0,0,0,0,0,0.803226838,0,0.158466119,0.038307043,0,0,0
528403,Te Rapa,6.0026077,0,0,0.033192334,0,0,0,0.001489698,0.527224391,0.006284664,0.407553558,0.015317167,0.001256933,0.006982959,0.000698296
528405,Burbush,6.37369522,0,0,0.075474853,0,0,0.006367541,0,0.089157913,0.002728946,0.778059365,0.031837705,0,0.016373677,0
528406,Rotokauri,4.32443217,0,0,0.002379659,0,0,0.009518634,0,0.33497442,0.011501683,0.628990751,0.002379659,0,0.007932195,0.002323
528501,Nawton,1.72613078,0,0,0,0,0,0,0.01005136,0.97730338,0.003242374,0.009402886,0,0,0,0
528503,Crawshaw,0.836626,0,0,0,0,0,0,0,0.868474282,0,0.131525718,0,0,0,0
528504,Grandview,0.91742432,0,0,0,0,0,0,0,0.967813158,0,0.028891814,0,0,0,0.003295027
528505,Brymer,0.99754797,0,0,0,0,0,0,0,0.527770402,0,0.463430467,0,0,0,0.008799131
528601,Dinsdale North,1.46412166,0,0,0,0,0,0,0,0.921950994,0,0.078049006,0,0,0,0
528602,Dinsdale South,1.56465885,0,0,0,0,0,0,0,0.693974142,0,0.301476254,0,0,0,0.004549604
528700,Beerescourt,1.41470128,0,0,0,0,0,0,0.003802134,0.942299498,0.013581107,0,0.030487881,0,0,0.00982938
