"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Subtropical","584701","6.0","5.0","0.0","17.901","46.0","0.0","17.901","46.0","-42.125","171.975","0.0","5.6722","0.841","199.8","0.0","0.0","2.196","0.0","17.901","0.774084782608696","0.0","17.901","5.15926304347826"
"Subtropical","584702","6.0","5.0","0.0","15.713","28.0","0.0","15.713","28.0","-42.225","171.775","0.5801","5.8017","1.017","51.5512","0.0","0.0","33.178","0.0","15.713","0.493767857142857","0.0","15.713","4.62054642857143"
"Subtropical","584703","6.0","5.0","0.0","10.798","47.0","0.0","15.897","47.0","-42.325","172.175","1.8296","8.8418","1.104","199.8","0.0","0.0","0.0012","0.0","10.798","0.474904255319149","0.0","15.897","5.52554680851064"
"Subtropical","584800","6.0","5.0","","","0.0","","","0.0","-42.475","171.225","1.5835","7.1179","0.896","57.8042","0.0","0.0","0.1072","0.0","8.993","1.5835","0.0","13.35","7.1179"
"Subtropical","584911","6.0","5.0","","","0.0","","","0.0","-42.425","171.225","1.9392","7.3788","0.879","58.4798","0.0","0.0","0.0362","0.0","9.344","1.9392","0.0","13.114","7.3788"
"Subtropical","584912","6.0","5.0","0.0","9.532","1.0","0.0","15.755","1.0","-42.525","171.175","1.1954","7.8394","1.082","46.1594","0.0","0.0","0.3586","0.0","9.532","1.1954","0.0","15.755","7.8394"
"Subtropical","584922","6.0","5.0","","","0.0","","","0.0","-42.375","171.375","0.8155","6.4797","0.93","57.2114","0.0","0.0","0.5402","0.0","7.649","0.8155","0.0","13.596","6.4797"
"Subtropical","584923","6.0","5.0","0.0","9.344","1.0","0.0","13.114","1.0","-42.425","171.225","1.9392","7.3788","0.879","58.4798","0.0","0.0","0.0362","0.0","9.344","1.9392","0.0","13.114","7.3788"
"Subtropical","584930","6.0","5.0","","","0.0","","","0.0","-42.425","171.325","0.9618","6.0046","0.819","63.903","0.0","0.0","0.3222","0.0","7.436","0.9618","0.0","12.185","6.0046"
"Subtropical","584931","6.0","5.0","0.0","19.285","8.0","0.0","19.285","8.0","-42.275","171.325","0.3773","3.9195","0.776","65.7558","0.0","0.0","39.8978","0.0","19.285","1.7330375","0.0","19.285","5.8907875"
"Subtropical","584932","6.0","5.0","0.0","18.01","5.0","0.0","18.01","5.0","-42.425","171.325","0.9618","6.0046","0.819","63.903","0.0","0.0","0.3222","0.0","18.01","1.45396","0.0","18.01","6.41472"
"Subtropical","584933","6.0","5.0","0.0","17.386","19.0","0.0","17.386","19.0","-42.225","171.525","0.4238","4.62","0.834","63.445","0.0","0.0","35.9728","0.0","17.386","1.06393684210526","0.0","17.386","4.48947368421053"
"Subtropical","584934","6.0","5.0","0.0","9.346","3.0","0.0","16.14","3.0","-42.475","171.275","1.0694","7.8836","1.112","45.2018","0.0","0.0","0.4112","0.0","9.346","1.1715","0.0","16.14","7.1907"
"Subtropical","584935","6.0","5.0","0.0","9.645","17.0","0.0","16.21","17.0","-42.625","171.275","0.6874","6.7092","1.02","50.821","0.0","0.0","18.4956","0.0","9.645","0.603076470588235","0.0","16.21","5.56234705882353"
"Subtropical","584936","6.0","5.0","0.0","18.016","5.0","0.0","18.016","5.0","-42.525","171.475","0.7324","7.0302","1.054","50.243","0.0","0.0","16.1784","0.0","18.016","1.58662","0.0","18.016","7.67182"
"Subtropical","584937","6.0","5.0","0.0","18.386","22.0","0.0","18.386","22.0","-42.475","171.575","0.5521","6.0599","1.04","50.8306","0.0","0.0","28.5002","0.0","18.386","1.58205454545455","0.0","18.386","6.41747272727273"
"Subtropical","584938","6.0","5.0","0.0","17.089","19.0","0.0","17.089","19.0","-42.375","171.775","0.6929","6.9077","1.075","49.6262","0.0","0.0","22.762","0.0","17.089","0.751984210526316","0.0","17.089","5.30185789473684"
"Subtropical","584939","6.0","5.0","0.0","18.363","30.0","0.0","18.363","30.0","-42.675","171.575","0.6777","6.9395","1.09","49.3206","0.0","0.0","21.8664","0.0","18.363","0.689293333333333","0.0","18.363","3.66363"
"Subtropical","584940","6.0","5.0","0.0","10.822","24.0","0.0","16.397","24.0","-42.575","171.925","1.738","9.1614","1.191","43.0856","0.0","0.0","0.1646","0.0","10.822","0.329316666666667","0.0","16.397","4.432825"
"Subtropical","585000","6.0","5.0","","","0.0","","","0.0","-42.375","171.275","0.8965","7.2465","1.049","50.6978","0.0","0.0","3.3104","0.0","8.469","0.8965","0.0","15.025","7.2465"
"Subtropical","585110","6.0","5.0","","","0.0","","","0.0","-42.425","171.225","1.9392","7.3788","0.879","58.4798","0.0","0.0","0.0362","0.0","9.344","1.9392","0.0","13.114","7.3788"
"Subtropical","585120","6.0","5.0","","","0.0","","","0.0","-42.475","171.225","1.5835","7.1179","0.896","57.8042","0.0","0.0","0.1072","0.0","8.993","1.5835","0.0","13.35","7.1179"
"Subtropical","585130","6.0","5.0","","","0.0","","","0.0","-42.475","171.225","1.5835","7.1179","0.896","57.8042","0.0","0.0","0.1072","0.0","8.993","1.5835","0.0","13.35","7.1179"
"Subtropical","585140","6.0","5.0","","","0.0","","","0.0","-42.475","171.225","1.5835","7.1179","0.896","57.8042","0.0","0.0","0.1072","0.0","8.993","1.5835","0.0","13.35","7.1179"
"Subtropical","585306","6.0","5.0","","","0.0","","","0.0","-42.625","171.175","0.8502","7.4262","1.082","46.1594","0.0","0.0","3.2224","0.0","8.36","0.8502","0.0","15.704","7.4262"
"Subtropical","585307","6.0","5.0","","","0.0","","","0.0","-42.725","170.975","0.7481","6.8301","0.997","54.7032","0.0","0.0","3.2802","0.0","7.435","0.7481","0.0","14.677","6.8301"
"Subtropical","585309","6.0","5.0","","","0.0","","","0.0","-42.925","170.825","0.253","3.2288","0.822","63.919","0.0","0.0","39.5672","0.0","2.53","0.253","0.0","7.013","3.2288"
"Subtropical","585311","6.0","5.0","0.0","10.922","4.0","0.0","15.435","4.0","-43.125","170.525","0.0","3.0674","0.698","72.9736","0.0","0.0","34.9198","0.0","10.922","0.8001","0.0","15.435","5.586"
"Subtropical","585312","6.0","5.0","0.0","13.344","2.0","0.0","13.344","2.0","-43.375","170.175","0.2789","3.7259","1.16","47.9768","0.0","0.0","43.3775","0.0","13.344","1.7071","0.0","13.344","4.9901"
"Subtropical","585313","6.0","5.0","0.0","7.051","1.0","0.0","7.078","1.0","-43.475","169.925","2.7435","5.6733","1.33","39.3608","0.0","0.0","36.7986","0.0","7.051","1.6765","0.0","7.078","3.6405"
"Subtropical","585314","6.0","5.0","0.0","10.6","17.0","0.0","16.335","17.0","-42.775","171.325","0.4925","5.5597","1.041","50.6636","0.0","0.0","35.538","0.0","10.6","0.3582","0.0","16.335","3.42605882352941"
"Subtropical","585315","6.0","5.0","0.0","10.392","21.0","0.0","16.08","21.0","-42.825","171.625","0.0","3.9906","0.89","199.8","0.0","0.0","43.4602","0.0","10.392","0.178633333333333","0.0","16.08","3.29811904761905"
"Subtropical","585316","6.0","5.0","0.0","9.589","8.0","0.0","16.374","8.0","-42.675","171.125","0.5791","5.6443","0.865","59.121","0.0","0.0","20.2936","0.0","9.589","0.645","0.0","16.374","5.65925"
"Subtropical","585317","6.0","5.0","0.0","6.367","6.0","0.0","14.331","6.0","-42.775","170.975","0.5619","5.9837","0.922","57.311","0.0","0.0","20.9002","0.0","6.367","0.532916666666667","0.0","14.331","5.85848333333333"
"Subtropical","585318","6.0","5.0","0.0","9.693","36.0","0.0","16.803","36.0","-42.925","171.125","0.3011","3.5691","0.976","55.3656","0.0","0.0","46.2004","0.0","9.693","0.175066666666667","0.0","16.803","2.03728333333333"
"Subtropical","585319","6.0","5.0","0.0","3.675","14.0","0.0","9.896","14.0","-42.975","170.925","0.0","0.3486","0.49","199.8","0.0","0.0","66.5006","0.0","3.675","0.135107142857143","0.0","9.896","2.4204"
"Subtropical","585320","6.0","5.0","0.0","11.911","51.0","0.0","15.9","51.0","-43.125","170.725","0.1981","2.4555","0.842","61.8162","0.0","0.0","48.8327","0.0","11.911","0.231866666666667","0.0","15.9","2.24633333333333"
"Subtropical","585321","6.0","5.0","0.0","7.642","42.0","0.0","14.099","42.0","-43.275","170.425","0.007","0.352","0.958","54.014","0.0","0.0","80.7906","0.0","7.642","0.210547619047619","0.0","14.099","2.90135"
"Subtropical","585322","6.0","5.0","0.0","18.126","22.0","0.0","18.126","22.0","-43.375","170.225","0.0","0.338","0.831","62.0166","0.0","0.0","74.8912","0.0","18.126","0.600090909090909","0.0","18.126","3.10381818181818"
"Subtropical","585323","6.0","5.0","0.0","25.435","52.0","0.0","25.743","52.0","-43.575","169.925","0.0","0.0192","0.202","217.6932","0.0","0.0","186.419","0.0","25.435","1.30096730769231","0.0","25.743","2.74928076923077"
"Subtropical","585324","6.0","5.0","0.0","19.286","55.0","0.0","19.286","55.0","-43.775","169.625","0.0","0.066","0.638","199.8","0.0","0.0","288.333","0.0","19.286","0.46894","0.0","19.286","1.28382"
"Subtropical","585325","6.0","5.0","0.0","22.639","176.0","0.0","22.639","176.0","-44.075","168.825","0.0","0.1702","0.444","199.8","0.0","0.0","68.1114","0.0","22.639","0.624719318181818","0.0","22.639","1.73876590909091"
"Subtropical","585400","6.0","5.0","0.0","7.435","1.0","0.0","14.677","1.0","-42.725","170.975","0.7481","6.8301","0.997","54.7032","0.0","0.0","3.2802","0.0","7.435","0.7481","0.0","14.677","6.8301"
"Subtropical","585502","6.0","5.0","0.0","26.02","1.0","0.0","26.02","1.0","-42.525","172.825","5.204","12.5944","1.123","199.8","0.0","0.0","0.0","0.0","26.02","5.204","0.0","26.02","12.5944"
"Subtropical","585504","6.0","5.0","0.0","45.888","2.0","0.0","45.888","2.0","-42.775","172.825","12.6033","19.1745","1.263","109.6814","0.0","0.0","0.0","0.0","45.888","11.6419","0.0","45.888","19.0381"
"Subtropical","585505","6.0","5.0","","","0.0","","","0.0","-42.675","173.025","9.692","17.166","1.132","43.6952","0.0","0.0","0.0","0.0","40.416","9.692","0.0","40.416","17.166"
"Subtropical","585506","6.0","5.0","0.0","47.428","183.0","0.0","47.428","183.0","-42.575","172.725","7.215","15.1688","1.196","188.1826","0.0","0.0","0.0","0.0","47.428","2.06865519125683","0.0","47.428","7.78234262295082"
"Subtropical","585601","6.0","5.0","0.0","47.147","40.0","0.0","47.147","40.0","-42.725","173.275","6.1733","13.2965","1.111","45.0968","0.0","0.0","0.0","0.0","47.147","5.9821575","0.0","47.147","12.7469175"
"Subtropical","585602","6.0","5.0","","","0.0","","","0.0","-42.825","173.275","8.3246","16.3168","1.217","38.7336","0.0","0.0","0.0","0.0","32.566","8.3246","0.0","32.566","16.3168"
"Subtropical","585700","6.0","5.0","0.0","49.296","112.0","0.0","49.296","112.0","-42.875","172.525","7.495","13.9164","0.971","199.8","0.0","0.0","0.0","0.0","49.296","5.04895446428571","0.0","49.296","11.6639919642857"
"Subtropical","585802","6.0","5.0","","","0.0","","","0.0","-43.175","172.725","14.5873","19.5681","1.263","37.6782","0.0","0.0","0.0","0.0","48.523","14.5873","0.0","48.523","19.5681"
"Subtropical","585803","6.0","5.0","0.0","50.996","19.0","0.0","50.996","19.0","-43.125","172.625","8.5424","15.8968","1.111","158.9332","0.0","0.0","0.0","0.0","50.996","8.88385789473684","0.0","50.996","15.5039315789474"
"Subtropical","585805","6.0","5.0","0.0","52.129","1.0","0.0","52.129","1.0","-43.275","172.675","16.8353","19.9275","1.305","36.7018","0.0","0.0","0.0","0.0","52.129","16.8353","0.0","52.129","19.9275"
"Subtropical","585806","6.0","5.0","0.0","43.219","25.0","0.0","43.219","25.0","-43.125","172.325","0.0","8.2286","0.773","199.8","0.0","0.0","0.0","0.0","43.219","2.527468","0.0","43.219","10.081828"
"Subtropical","585807","6.0","5.0","0.0","49.903","5.0","0.0","49.903","5.0","-43.225","172.525","9.5909","16.8647","1.102","152.9474","0.0","0.0","0.0","0.0","49.903","9.7255","0.0","49.903","17.0697"
"Subtropical","585808","6.0","5.0","0.0","51.317","3.0","0.0","51.317","3.0","-43.225","172.625","10.5562","18.3076","1.17","64.4178","0.0","0.0","0.0","0.0","51.317","13.3306","0.0","51.317","19.1872666666667"
"Subtropical","586001","6.0","5.0","","","0.0","","","0.0","-43.375","172.675","11.015","18.2352","1.143","59.9976","0.0","0.0","0.0","0.0","49.46","11.015","0.0","49.46","18.2352"
"Subtropical","586002","6.0","5.0","","","0.0","","","0.0","-43.375","172.675","11.015","18.2352","1.143","59.9976","0.0","0.0","0.0","0.0","49.46","11.015","0.0","49.46","18.2352"
"Subtropical","586112","6.0","5.0","","","0.0","","","0.0","-43.275","172.675","16.8353","19.9275","1.305","36.7018","0.0","0.0","0.0","0.0","52.129","16.8353","0.0","52.129","19.9275"
"Subtropical","586114","6.0","5.0","0.0","43.499","1.0","0.0","43.499","1.0","-43.325","172.375","10.1611","17.8411","1.158","169.1276","0.0","0.0","0.0","0.0","43.499","10.1611","0.0","43.499","17.8411"
"Subtropical","586115","6.0","5.0","0.0","43.741","3.0","0.0","43.741","3.0","-43.275","172.375","8.2816","15.5852","1.104","199.8","0.0","0.0","0.0","0.0","43.741","8.8863","0.0","43.741","16.4239"
"Subtropical","586120","6.0","5.0","0.0","48.257","1.0","0.0","48.257","1.0","-43.325","172.675","10.8898","18.242","1.132","67.2664","0.0","0.0","0.0","0.0","48.257","10.8898","0.0","48.257","18.242"
"Subtropical","586121","6.0","5.0","0.0","47.728","3.0","0.0","47.728","3.0","-43.325","172.525","10.8255","18.4323","1.168","66.3662","0.0","0.0","0.0","0.0","47.728","10.685","0.0","47.728","18.2393333333333"
"Subtropical","586122","6.0","5.0","","","0.0","","","0.0","-43.325","172.575","10.6041","17.8085","1.102","87.9632","0.0","0.0","0.0","0.0","46.722","10.6041","0.0","46.722","17.8085"
"Subtropical","586124","6.0","5.0","","","0.0","","","0.0","-43.325","172.675","10.8898","18.242","1.132","67.2664","0.0","0.0","0.0","0.0","48.257","10.8898","0.0","48.257","18.242"
"Subtropical","586126","6.0","5.0","","","0.0","","","0.0","-43.325","172.675","10.8898","18.242","1.132","67.2664","0.0","0.0","0.0","0.0","48.257","10.8898","0.0","48.257","18.242"
"Subtropical","586127","6.0","5.0","","","0.0","","","0.0","-43.275","172.675","16.8353","19.9275","1.305","36.7018","0.0","0.0","0.0","0.0","52.129","16.8353","0.0","52.129","19.9275"
"Subtropical","586128","6.0","5.0","","","0.0","","","0.0","-43.325","172.675","10.8898","18.242","1.132","67.2664","0.0","0.0","0.0","0.0","48.257","10.8898","0.0","48.257","18.242"
"Subtropical","586129","6.0","5.0","0.0","47.78","1.0","0.0","47.78","1.0","-43.325","172.625","10.8117","18.1699","1.131","68.833","0.0","0.0","0.0","0.0","47.78","10.8117","0.0","47.78","18.1699"
"Subtropical","586130","6.0","5.0","","","0.0","","","0.0","-43.325","172.675","10.8898","18.242","1.132","67.2664","0.0","0.0","0.0","0.0","48.257","10.8898","0.0","48.257","18.242"
"Subtropical","586303","6.0","5.0","","","0.0","","","0.0","-43.325","172.625","10.8117","18.1699","1.131","68.833","0.0","0.0","0.0","0.0","47.78","10.8117","0.0","47.78","18.1699"
"Subtropical","586304","6.0","5.0","","","0.0","","","0.0","-43.325","172.575","10.6041","17.8085","1.102","87.9632","0.0","0.0","0.0","0.0","46.722","10.6041","0.0","46.722","17.8085"
"Subtropical","586305","6.0","5.0","","","0.0","","","0.0","-43.275","172.575","11.2301","19.2239","1.242","38.1758","0.0","0.0","0.0","0.0","49.903","11.2301","0.0","49.903","19.2239"
"Subtropical","586306","6.0","5.0","","","0.0","","","0.0","-43.275","172.575","11.2301","19.2239","1.242","38.1758","0.0","0.0","0.0","0.0","49.903","11.2301","0.0","49.903","19.2239"
"Subtropical","586307","6.0","5.0","","","0.0","","","0.0","-43.325","172.575","10.6041","17.8085","1.102","87.9632","0.0","0.0","0.0","0.0","46.722","10.6041","0.0","46.722","17.8085"
"Subtropical","586308","6.0","5.0","","","0.0","","","0.0","-43.325","172.575","10.6041","17.8085","1.102","87.9632","0.0","0.0","0.0","0.0","46.722","10.6041","0.0","46.722","17.8085"
"Subtropical","586403","6.0","5.0","","","0.0","","","0.0","-43.375","172.675","11.015","18.2352","1.143","59.9976","0.0","0.0","0.0","0.0","49.46","11.015","0.0","49.46","18.2352"
"Subtropical","586404","6.0","5.0","","","0.0","","","0.0","-43.375","172.625","10.9324","18.1232","1.141","63.5322","0.0","0.0","0.0","0.0","49.031","10.9324","0.0","49.031","18.1232"
"Subtropical","586405","6.0","5.0","","","0.0","","","0.0","-43.375","172.675","11.015","18.2352","1.143","59.9976","0.0","0.0","0.0","0.0","49.46","11.015","0.0","49.46","18.2352"
"Subtropical","586407","6.0","5.0","","","0.0","","","0.0","-43.375","172.675","11.015","18.2352","1.143","59.9976","0.0","0.0","0.0","0.0","49.46","11.015","0.0","49.46","18.2352"
