"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Dry","578000","1.0","1.0","","","0.0","","","0.0","-40.475","175.825","18.105","18.105","1.06","0.0","0.0","0.0","0.0","18.105","18.105","18.105","18.105","18.105","18.105"
"Dry","578100","1.0","1.0","","","0.0","","","0.0","-40.625","175.725","0.0","16.849","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.849","16.849","16.849"
"Dry","578200","1.0","1.0","0.0","17.929","38.0","9.076","17.929","38.0","-40.675","175.825","0.0","16.851","0.99","0.0","0.0","0.0","0.0","0.0","17.929","1.83842105263158","9.076","17.929","15.0126578947368"
"Dry","578301","1.0","1.0","19.906","20.886","2.0","19.906","20.886","2.0","-40.975","175.675","20.886","20.886","1.22","0.0","0.0","0.0","0.0","19.906","20.886","20.396","19.906","20.886","20.396"
"Dry","578302","1.0","1.0","19.31","19.688","2.0","19.31","19.688","2.0","-40.925","175.625","19.31","19.31","1.13","0.0","0.0","0.0","0.0","19.31","19.688","19.499","19.31","19.688","19.499"
"Dry","578401","1.0","1.0","0.0","19.784","22.0","4.95","19.784","22.0","-40.825","175.625","17.297","17.297","1.01","0.0","0.0","0.0","0.0","0.0","19.784","4.95304545454545","4.95","19.784","15.0215454545455"
"Dry","578402","1.0","1.0","0.0","21.824","71.0","13.038","21.824","71.0","-40.925","175.975","19.851","19.851","1.16","0.0","0.0","0.0","0.0","0.0","21.824","13.426","13.038","21.824","18.3501690140845"
"Dry","578600","1.0","1.0","","","0.0","","","0.0","-40.975","175.675","20.886","20.886","1.22","0.0","0.0","0.0","0.0","20.886","20.886","20.886","20.886","20.886","20.886"
"Dry","578700","1.0","1.0","","","0.0","","","0.0","-40.925","175.625","19.31","19.31","1.13","0.0","0.0","0.0","0.0","19.31","19.31","19.31","19.31","19.31","19.31"
"Dry","578800","1.0","1.0","","","0.0","","","0.0","-40.975","175.675","20.886","20.886","1.22","0.0","0.0","0.0","0.0","20.886","20.886","20.886","20.886","20.886","20.886"
"Dry","578901","1.0","1.0","","","0.0","","","0.0","-40.975","175.625","19.906","19.906","1.17","0.0","0.0","0.0","0.0","19.906","19.906","19.906","19.906","19.906","19.906"
