X,Y,OBJECTID,ATF_CODE,FACILITY,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,CITY,STATUS,CONTAINE_2,proportionToHere
1760719.262,5912284.59,4717,16321,Webbing & Tapes REM Ltd,4 Patrick St,Onehunga Z1,PO Box 13721,Onehunga 1643,Auckland,current 2009/10,11,0.0002880453303660614
1767654.654,5909388.126,4719,16324,Allied Movers - AKL,1 Arwin Place,East Tamaki Z1,PO Box 259 138,Greenmount 2141,Auckland,current 2009/10,126,0.0002880453303660614
1574682.144,5177253.784,4720,16325,Dogs Breakfast Trading Company,2 Long Street,Woolston,2 Long Street,Woolston 8023,Christchurch,current 2009/10,204,0.0007527505398938392
1870562,5712571,4721,16328,Allsports Distribution,35 Raywood Cres,Ashwood Business Park,PO Box 1307,3351,Taupo,current 2009/10,4,1.1915410638098297e-06
1764483.631,5913013.394,4724,16332,Intergrated Traffic Solutions,56-60 Carbine Road,Mt Wellington Z1,Private Bag 76909,Auckland 2241,Auckland,current 2009/10,15,0.0002880453303660614
1768475.138,5908905.021,4725,16333,Lennox International Trading Ltd,Unit 3/ 23 Springs Road,East Tamaki  Z1,PO Box 51 664,Pakuranga 2140,Auckland,current 2009/10,22,0.0002880453303660614
1571001.111,5178853.955,4726,16334,All Direct NZ Co. Ltd,40 Byron Street,Sydenham,12 Vauxhall St,"Bishopdale, Christchurch",Christchurch,current 2009/10,18,0.0007527505398938392
1768575.892,5910615.625,4727,16335,New Castle Furniture,13c Neales Road,East Tamaki Z2,PO Box 58 478,Greenmount 2141,Auckland,current 2009/10,6,1.1915410638098297e-06
1758789.15,5908154.825,4728,16336,John Fillmore Contracting Ltd,5 Kirkbride Road,Mangere Z1,PO Box 43243,Mangere 2153,Auckland,current 2009/10,18,0.0002880453303660614
1749758.119,5431013.442,4729,16337,Express Couriers Limited,36-54 Kaiwharawahra Rd,Kaiwharawhara,PO Box 140,Wellington 6140,Wellington,current 2009/10,5,0.00030305714073883467
1767867.933,5909774.21,4730,16339,Premier Plastics/Cospak,27 Ross Reid Place,East Tamaki Z2,PO Box 58927,"Botany, Manukau 2163.",Auckland,current 2009/10,96,0.0002880453303660614
1746239.684,5920457.152,4731,16342,Fill-Pak NZ Ltd,72 The Concourse,Henderson Z2,PO Box 79 113,Royal heights 0656,Auckland,current 2009/10,73,0.0002880453303660614
1576096.012,5177152.69,4733,16345,MPB Marketing,"Unit 2, 1 Settlers Crescent",Ferrymead,14 Gazelle Lane,Redcliffs 8081,Christchurch,current 2009/10,31,0.0007527505398938392
1768982.745,5882653.646,4734,16347,Opal Products Ltd,9 Adams Drive,Pukekohe Z3,PO Box 1083,Pukekohe 2340,Auckland,current 2009/10,1,1.1915410638098297e-06
1754361.924,5928876.255,4735,16355,The Toy Lady Ltd,26B Ashfield Road,Glenfield Z3,26B Ashfield Road,Glenfield,Auckland,current 2009/10,9,0.0002880453303660614
1764405.876,5912531.364,4736,16356,Fresh Direct (AKL #18 Clemow),18 Clemow Drive,Mt Wellington Z1,PO Box 17470,Greenlane 1546,Auckland,current 2009/10,747,0.0002880453303660614
1575085.278,5176117.22,4737,16357,"On Gas - CHC, Mary Muller Dr",9 Mary Muller Drive,Woolston,PO Box 4999,Christchurch,Christchurch,current 2009/10,8,0.0007527505398938392
1560729.551,5178103.105,4741,16362,Ceva Pallecon.,720 Halswell Junction Rd,"Hornby, CHCH 8042",P O Box 11359,"Sockburn, CHCH 8443",Christchurch,current 2009/10,1,1.1915410638098297e-06
1765803.855,5902091.855,4742,16363,Opzeeland Transport - AKL,11c Bolderswood Place,Manukau Z1,PO Box 16 022,Hornby,Auckland,current 2009/10,25,1.1915410638098297e-06
1754419,5913648,4744,16370,Foodstuffs Mercer Store,1 Roma Rd,Mt Roskill  Auckland Z2,DX Box CX 15021,Auckland,Auckland,current 2009/10,423,0.0002880453303660614
1770589.399,5899954.22,4745,16371,CNS Cosmetics  NZ Ltd,68 Rangi Rd,Takanini Auckland Z2,68 Rangi Rd,Takanini  Auckland,Auckland,current 2009/10,2,1.1915410638098297e-06
1768518.553,5908553.243,4748,16374,JJ Macro International Trading Co Ltd,1/349 East Tamaki Road,East Tamaki Z1,1/349 East Tamaki Road,East Tamaki,Auckland,current 2009/10,1,0.0002880453303660614
1749898.167,5945591.832,4749,16375,Advanced Steel Products Ltd,20-22 Anvil Road,Silverdale Z3,PO Box 120,Silverdale 0944,Auckland,current 2009/10,21,1.1915410638098297e-06
1768765.363,5911161.275,4750,16376,Cbay Co Ltd,Unit 7/135 Cryers Road,East Tamaki,27B  McCahill View,Highland Park,Auckland,current 2009/10,4,1.1915410638098297e-06
1765503.093,5901860.589,4751,16377,Summit Aluminium Ltd,252 Roscommon Road,Wiri,PO Box 271,Drury 2247,Auckland,current 2009/10,12,0.0002880453303660614
1574448.878,5177149.526,4752,16378,Mouton Noir,2/108 Bamford Street,Woolston,PO Box 22-225,Christchurch,Christchurch,current 2009/10,59,0.0007527505398938392
1823198.6,5532921.789,4754,16381,Ice-Land Group Ltd,21 Noel Rodgers Place,Palmerston North,PO Box 966,Palmerston North,Palmerston North,current 2009/10,20,1.1915410638098297e-06
1755026.967,5931906.525,4755,16383,Ike's Emporium Ltd,8a Constellation Drive,Mairangi Bay Z3,PO Box 35 426,Browns Bay 0753,Auckland,current 2009/10,13,1.1915410638098297e-06
