Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1455,0.0011905306121858085,0.00010235876813666025,6.763064301102043e-07,0.0004044534413161242,1.3526128602204086e-06,8.334986448971973e-06,1.4823612685794453e-05,9.017419068136056e-07,1.4202437089620288e-05,0.0001363762288910195,0.0008935112331125471,2.3433042718779422e-05,9.034943084839004e-05,0.002638428980531643
1456,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1457,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1458,1.4608747515671917e-05,0.0005246090916371522,2.0869639308102737e-06,0.0017507263017090807,4.1739278616205475e-06,8.518357122053493e-05,3.2183634504603196e-05,8.439616172663926e-06,4.948324649375421e-05,0.0007509543721697403,0.0028071894635613424,0.000270434754473164,0.00019969133071142677,0.0054478537891780535
1459,1.1971239380052484e-05,0.0013400702439821772,1.710177054293212e-06,0.004266302519559416,3.420354108586424e-06,0.0002552104200139634,6.008331484978214e-05,2.3771008225815957e-05,5.7404495495895136e-05,0.001615444347087298,0.0054297909503913215,0.0008283934259211216,0.00029847929485203573,0.012281197880281204
1460,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1461,8.51092694816963e-06,0.002409924901516761,1.2158467068813756e-06,0.007566644817057018,2.431693413762751e-06,0.0004782793124614756,9.668665625382173e-05,4.3885223535012485e-05,6.77968791355859e-05,0.0027496229936087636,0.008870546414307139,0.0015604144199853937,0.0004280854241449727,0.021246290799030086
1462,1.5754504111078963e-05,0.00023333141556629384,2.221431009761473e-06,0.000852051341333632,4.45776390964225e-06,2.4437396872945017e-05,2.2220105277105573e-05,2.962735895799703e-06,4.665005796252442e-05,0.0004420863431968287,0.0018700920706012057,7.108662695268503e-05,0.00016445048985046654,0.0030065644576522436
1463,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1464,0.0003719241661184955,0.0003479598937496779,1.960375438532364e-06,0.000983837443006882,3.002450732450774e-05,2.4464547206905224e-05,2.975521522599592e-05,4.064042609567763e-06,4.116789017258908e-05,0.0004278201785318113,0.001677864828105594,6.418222868796969e-05,0.0002581840753612729,0.0031598350619450374
1465,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1466,0.0003786608427662506,0.0003696060382177688,1.937754962144327e-06,0.001030540624017362,3.8995984964934763e-05,2.6791074345947708e-05,3.0419456555643797e-05,4.061797035724e-06,4.0866620308780224e-05,0.00043464386412472655,0.0016671717330603742,6.713525162105006e-05,0.00028527283800769957,0.0031786831523440673
1467,1.2839696304712689e-05,0.0004778433012283448,9.29170090411859e-06,0.00319515575226139,3.66848465848934e-06,0.00022991772092741794,6.308718022292315e-05,1.5496208945022253e-05,0.00012614424919232134,0.0010622867489530707,0.0021603003257701175,0.00018920130710077066,0.000706229623262068,0.002809486537629084
1468,7.320387212005763e-08,0.0016294387274898763,4.258144904146442e-05,0.01422804529428061,2.091539203430218e-08,0.001197424353984995,0.0002555305563225387,7.451317844922226e-05,0.0005004288538262286,0.00398246939832309,0.0035262323680865628,0.0007453271200084226,0.0032574552394520435,0.001881955017171488
1469,0.0,0.002447896418726614,3.111439496429702e-05,0.02226007015806275,0.0,0.002043022362722373,0.0005161025075321608,0.00012432632263599395,0.0007174705219147626,0.008145914362657112,0.00720710953819911,0.0017872991666746307,0.0039325002519394504,0.0028025964294977456
1470,0.0,0.0018441200071037415,2.5911877997862693e-05,0.019067568022596827,9.06915857696678e-05,0.0015897784238709405,0.00039059561013261916,0.00014311835268185686,0.00041801234986328564,0.007363386099733211,0.005484852543975563,0.0018827043623030532,0.0024540172816953356,0.0019965147764045895
1471,0.0,0.003698293650728621,8.930009079263272e-06,0.0353667887738778,2.7647891322785732e-05,0.003389129562546004,0.0009362947425545275,0.00021747190261737297,0.0010058768295151082,0.015234144061872784,0.013171956908580355,0.0036518058477872694,0.004648662148825023,0.004192932320121109
1472,0.0,0.005021336253054859,1.4941103254119503e-05,0.02791571544342644,5.079709227164995e-05,0.015544851304385937,0.0006959454586214457,0.17266717026102726,0.2996161109510144,0.011709039575417144,0.11519261128964522,0.0028525525181263465,0.005803569280889475,0.04058541714729897
1473,0.0,0.0029815717084675465,2.345100789015553e-05,0.02749836325543665,0.0,0.002595232321457954,0.0006866650065210288,0.0001568487129202767,0.0008587328228510517,0.010871762305537111,0.009621598312258476,0.002470146901475084,0.004366627084476002,0.0034112794093144353
1474,0.0,0.002258492638160691,0.0007223266823906394,0.07342189595848708,0.0,0.012187473102983093,0.0013457887804475784,0.06771102128136064,0.014035591656530384,0.22924597865545848,0.14645588221306177,0.03530108102311688,0.02453390958721171,0.00872257537913051
1475,0.0,0.0017723901033981843,0.0009731189288947531,0.0865821805905533,0.0,0.011099289177112608,0.0014723675496456732,0.004278579275553953,0.0014720955430794797,0.05255506569627287,0.060343943453554434,0.02225530063037249,0.0304741745982751,0.000593063331227151
1476,0.0,0.0002967690232867706,6.507444674866026e-05,0.004650894186215502,4.0416040694102324e-05,0.00028026560775241635,2.951811761345802e-05,4.174716631715616e-05,2.9301612449857572e-05,0.002781663312431971,0.0004393796614737859,0.0005439267496334557,0.0004849921106356587,0.0002659197701003909
