Code,AU2013_NAM,area,area_sqkm
514401,Roberton,1458484,1.4584840400
514402,Glenavon,1733929,1.7339292800
514500,New Windsor,1815634,1.8156339400
514600,Avondale South,1454301,1.4543010300
514700,Blockhouse Bay,2450203,2.4502034600
514801,Rosebank,3576593,3.5765931200
514802,Avondale West,1592276,1.5922758500
514900,Waterview,1118426,1.1184255400
515001,Point Chevalier West,1255683,1.2556831000
515002,Point Chevalier East,1460323,1.4603229600
515003,Point Chevalier South,1285696,1.2856958100
515100,Westmere,2112168,2.1121677900
515201,Herne Bay,819959,0.8199589300
515202,St Marys,940938,0.9409375400
515301,Ponsonby West,707155,0.7071554800
515302,Ponsonby East,716360,0.7163601300
515410,Grey Lynn West,831412,0.8314123100
515420,Grey Lynn East,784805,0.7848052600
515431,Surrey Crescent,1222617,1.2226168700
515432,St Lukes North,200629,0.2006289400
515500,Arch Hill,498770,0.4987699000
515600,Eden Terrace,468088,0.4680875300
515700,Epsom North,1373782,1.3737819100
515801,Epsom Central,1105854,1.1058542100
515802,Epsom South,951367,0.9513667300
515901,Parnell East,883205,0.8832053900
515902,Parnell West,2108363,2.1083631200
516001,Mt Hobson,903481,0.9034814300
516002,Remuera South,1121417,1.1214173500
516003,Abbotts Park,1879209,1.8792085000
516101,Remuera West,914771,0.9147714700
516102,Waitaramoa,1562024,1.5620244600
516201,Orakei South,1354739,1.3547385000
516202,Waiata,1371180,1.3711799700
516301,Meadowbank North,2266449,2.2664490100
516302,Meadowbank South,2502074,2.5020738100
516400,Orakei North,3032958,3.0329575900
516500,Mission Bay,2130646,2.1306455600
516601,Kohimarama West,1074238,1.0742375100
516602,Kohimarama East,1306844,1.3068444400
516700,St Heliers,1822291,1.8222914600
516800,Glendowie,2040952,2.0409523300
516900,Glen Innes North,2479850,2.4798503300
517001,Glen Innes West,1800977,1.8009766100
517002,Glen Innes East,1133237,1.1332369800
517100,Point England,1492606,1.4926063600
517201,St Johns,901436,0.9014362200
517202,Stonefields,1062007,1.0620073600
517400,Newmarket,728716,0.7287156000
517500,Kingsland,1260310,1.2603097600
517600,St Lukes,1179313,1.1793132100
517701,Sandringham North,819610,0.8196095400
517702,Sandringham West,1055818,1.0558180400
517703,Sandringham East,715288,0.7152883900
517800,Mt Albert Central,1935872,1.9358719600
517901,Springleigh,1063041,1.0630410900
517902,Owairaka West,819152,0.8191521900
517903,Owairaka East,1192564,1.1925636300
518101,Mt Eden North,903833,0.9038334700
518102,Sherbourne,860785,0.8607850300
518201,Balmoral,1397902,1.3979022700
518202,Mt Eden East,738554,0.7385542200
518301,Maungawhau,1011036,1.0110357200
518302,Mt Eden South,1105923,1.1059229300
518500,Three Kings,1814836,1.8148362200
518600,Royal Oak,1558150,1.5581500200
518701,Hillsborough West,2030006,2.0300062400
518702,Hillsborough East,2162192,2.1621916100
518801,Walmsley,1149762,1.1497618300
518802,Wesley,1180938,1.1809382600
518803,Akarana,2101812,2.1018123000
518901,Lynfield North,2064103,2.0641030100
518902,Lynfield South,1729537,1.7295368300
519001,Waikowhai West,1425996,1.4259958500
519002,Waikowhai East,1408093,1.4080925600
519200,Mt St John,1317613,1.3176132700
519300,One Tree Hill Central,3057945,3.0579450600
519400,One Tree Hill East,1604422,1.6044218100
519500,Penrose,4276091,4.2760905400
519710,Onehunga North West,802816,0.8028157700
519720,Onehunga North East,870947,0.8709474300
519810,Onehunga South West,1692637,1.6926371700
519820,Onehunga South East,1570182,1.5701821800
519900,Oranga,908734,0.9087338600
520000,Te Papapa,2524823,2.5248231700
520201,Ellerslie North,1717252,1.7172516900
520202,Ellerslie South,1349197,1.3491972300
520301,Mt Wellington Domain,2393344,2.3933437600
520302,Mt Wellington West,980325,0.9803254400
520303,Mt Wellington North,1018094,1.0180944700
520401,Ferndale,1645542,1.6455421200
520402,Hamlin,1364976,1.3649761200
520500,Mt Wellington South,6726694,6.7266941700
520601,Tamaki,1509718,1.5097183900
520602,Panmure Basin,1067207,1.0672065200
520801,Waiheke Island,91978436,91.9784363000
520900,Islands-Motutapu Rangitoto Rakino,62185495,62.1854953000
521000,Great Barrier Island,277162098,277.1620980000
521111,Paerata-Cape Hill,11668993,11.6689927000
521112,Eden Road-Hill Top,11812273,11.8122726000
521114,Redoubt,8314912,8.3149115200
521115,Opuawhanga,10741209,10.7412091000
521116,Buckland,769934,0.7699344100
521117,Buckland South,19835332,19.8353316000
521121,Patumahoe,48964922,48.9649215000
521122,Kingseat,151474272,151.4742710000
521131,Pokeno,53625922,53.6259219000
521132,Hunua,171823227,171.8232270000
521134,Paparata,22432751,22.4327509000
521135,Mangatawhiri,313364435,313.3644340000
521136,Kaiaua,81332165,81.3321650000
521151,Awhitu,221324998,221.3249980000
521152,Glenbrook,52953472,52.9534716000
521153,Otaua,175080722,175.0807210000
521160,Bombay,14625618,14.6256181000
521201,Hingaia,7438914,7.4389139400
521202,Whangapouri Creek,15644527,15.6445274000
521203,Bremner,6643529,6.6435286800
521301,Drury,53009209,53.0092086000
521302,Runciman,7686858,7.6868583800
521501,Mellons Bay,1428190,1.4281898900
521502,Cockle Bay,1960895,1.9608949000
521601,Howick West,788915,0.7889154300
521602,Howick Central,1833275,1.8332747700
521801,Otahuhu North,664102,0.6641022500
521802,Fairburn,899687,0.8996866300
521803,Otahuhu East,782939,0.7829390000
521901,Otahuhu West,2438953,2.4389531200
521902,Middlemore,706865,0.7068650000
522100,Papatoetoe West,1433610,1.4336096000
522201,Papatoetoe North,1393759,1.3937591300
522202,Papatoetoe Central,1420642,1.4206423700
522301,Dingwall,1078656,1.0786560800
522302,Papatoetoe East,1465452,1.4654516300
522400,Puhinui North,1001569,1.0015690700
522601,Bucklands and Eastern Beaches,2564521,2.5645211200
522603,Bleakhouse,784947,0.7849471500
522604,Bucklands Beach South,921136,0.9211363300
522711,Pigeon Mountain North,993513,0.9935134600
522712,Murvale,1120443,1.1204432800
522721,Pigeon Mountain South,429493,0.4294930100
522722,Highland Park,1351417,1.3514165000
522723,Elsmore Park,1790966,1.7909660700
522730,Half Moon Bay,1248821,1.2488209900
522810,Pakuranga North,1450958,1.4509575000
522820,Sunnyhills,1626619,1.6266190300
522910,Pakuranga Central,1256075,1.2560749300
522920,Edgewater,1505692,1.5056921800
523000,Pakuranga East,1490160,1.4901597400
523101,Howick South,1523818,1.5238178600
523102,Meadowland,1842302,1.8423017400
523105,Golfland,1431923,1.4319231500
523106,Millhouse,1616718,1.6167182300
523107,Burswood,783443,0.7834425000
523109,Dannemora,1421077,1.4210770700
523110,Kilkenny,1155672,1.1556716200
523112,Highbrook,5504680,5.5046796200
523113,Greenmount,3817054,3.8170539000
523114,Point View,4488546,4.4885455500
523115,Baverstock Oaks,1727567,1.7275668000
523116,Mission Heights,831615,0.8316153400
523201,Shelly Park,999176,0.9991756200
523202,Turanga,56466957,56.4669567000
523300,Beachlands-Maraetai,15758178,15.7581778000
523402,Otara West,1540756,1.5407556000
523403,Wymondley,351541,0.3515405900
523404,Grange,1062512,1.0625118100
523501,Otara North,1209870,1.2098697700
523502,Otara East,1181187,1.1811872000
523601,Otara South,801973,0.8019734300
523602,Ferguson,986980,0.9869797300
523711,Rongomai,2854671,2.8546706200
523712,Donegal Park,3447922,3.4479219200
523713,Ormiston,9707511,9.7075109600
523721,Clover Park,922066,0.9220664700
523722,Redoubt North,1547089,1.5470887300
523813,Ardmore,25789351,25.7893513000
523814,Totara Heights,2689458,2.6894583900
523816,Randwick Park,948214,0.9482140400
523817,Hyperion,503050,0.5030504600
523818,Redoubt East,5970166,5.9701664400
523819,Mill Road,1574489,1.5744891500
523820,Redoubt South,3915047,3.9150466200
523911,Takanini North,4925649,4.9256489700
523912,Takanini South,5088384,5.0883843600
523920,Takanini West,2353774,2.3537736400
524001,Ambury,3114881,3.1148810800
524002,Mangere Bridge,3314672,3.3146717900
524111,Mangere Central,986418,0.9864177800
524112,Mascot,1242518,1.2425182700
524121,Arahanga,716234,0.7162343100
524122,Viscount,942502,0.9425019300
524200,Mangere South,28236942,28.2369417000
524301,Mangere East,1728057,1.7280574900
524302,Aorere,1274874,1.2748739100
524303,Kohuora,1858942,1.8589415800
524402,Mangere Station,1869838,1.8698376700
524403,Favona West,859360,0.8593598800
524404,Favona North,1108839,1.1088386100
524405,Favona South,635650,0.6356501500
524510,Harania North,944368,0.9443682100
524520,Harania West,1113756,1.1137559600
524530,Harania East,1059902,1.0599015200
524602,Wiri,3440294,3.4402944000
524603,Puhinui South,1656932,1.6569323500
524604,Manukau Central,16380753,16.3807529000
524711,Burbank,648528,0.6485283200
524712,Homai West,479148,0.4791483100
524713,Rowandale,689549,0.6895489500
524720,Homai East,1647687,1.6476870900
524811,Weymouth West,1221558,1.2215575400
524812,Weymouth East,1610441,1.6104414400
524821,Clendon North,749282,0.7492824300
524822,Clendon South,1056555,1.0565548400
524901,Hillpark,1862225,1.8622253500
524902,Manurewa East,828549,0.8285493900
525001,Manurewa Central,1239013,1.2390125000
525002,Beaumont,899003,0.8990028000
525101,Leabank,1946388,1.9463879900
525102,Wattle Farm,3144016,3.1440160200
525201,Clevedon,183723291,183.7232900000
525202,Kawakawa-Orere,105215854,105.2158530000
525410,Papakura Central,1072049,1.0720489200
525420,Papakura North,1157326,1.1573258700
525510,Papakura South,1956850,1.9568504500
525520,Opaheke,1108622,1.1086217400
525530,Rosehill,1360200,1.3601997700
525540,Pahurehure,1207285,1.2072851500
525610,Papakura East,1646454,1.6464537200
525620,Massey Park,711192,0.7111921200
525630,Papakura North East,1380599,1.3805989200
525700,Red Hill,1728793,1.7287927000
525910,Pukekohe North,5222028,5.2220276700
525921,Pukekohe West,4428514,4.4285137400
525922,Bledisloe Park,9643336,9.6433355500
526103,Waiuku West,2198494,2.1984943200
526104,Waiuku East,3158584,3.1585838400
526105,South Waiuku,2247469,2.2474687100
526106,Pukeoware,7710044,7.7100442400
526200,Tuakau,4657858,4.6578584600
526400,Rotowaro,1270743,1.2707432600
526500,Raglan,5645884,5.6458842900
526601,Waikato Western Hills,503558698,503.5586970000
526602,Te Uku,462050591,462.0505900000
526603,Te Pahu,158151884,158.1518830000
526701,Onewhero,736023352,736.0233520000
526702,Te Akau,525489542,525.4895420000
526900,Te Kauwhata,5469622,5.4696221500
527004,Matangi,22554288,22.5542882000
527005,Sylvester,3208448,3.2084480100
527006,Flagstaff,2001061,2.0010610700
527007,Horsham Downs,4025405,4.0254051900
527008,Rototuna,1486139,1.4861385100
527009,Huntington,3738489,3.7384889400
527111,Whitikahu,304392801,304.3928010000
527112,Taupiri Community,1731027,1.7310273000
527122,Gordonton,42880982,42.8809816000
527123,Kainui,109206998,109.2069970000
527124,Newstead,8225653,8.2256525400
527125,Eureka,122157055,122.1570540000
527131,Tamahere-Tauwhare,130004353,130.0043520000
527133,Hautapu,48940977,48.9409771000
527134,Swayne,1260075,1.2600754400
527210,Waerenga,458014069,458.0140680000
527221,Maramarua,267092422,267.0924210000
527222,Meremere,569472,0.5694724600
527401,Huntly West,7334424,7.3344242700
527402,Huntly East,39876887,39.8768872000
527501,Cambridge North,1811529,1.8115285600
527502,Cambridge West,2399115,2.3991154300
527503,Cambridge Central,2535572,2.5355720000
527504,Leamington West,3926301,3.9263012800
527505,Leamington East,2892518,2.8925178800
527600,Ohaupo,1887691,1.8876913700
527700,Kihikihi,2104412,2.1044120000
527810,Peacocke,7541272,7.5412718000
527820,Temple View,4221598,4.2215978800
527912,Te Kowhai,34194948,34.1949476000
527913,Whatawhata,58130270,58.1302698000
527914,Ngahinapouri,132917836,132.9178350000
527915,Lake Cameron,36842044,36.8420441000
527916,Horotiu,14186319,14.1863192000
527917,Te Rapa North,3883467,3.8834665100
527921,Te Rore,38577705,38.5777054000
527922,Pirongia,28963193,28.9631933000
527923,Pokuru,57361589,57.3615894000
527924,Lake Ngaroto,38111256,38.1112556000
527925,Tokanui,23704527,23.7045267000
527931,Pukerimu,19420520,19.4205202000
527932,Kaipaki,52604747,52.6047473000
527934,Rotoorangi,229982292,229.9822910000
527935,Te Rahu,37577751,37.5777511000
527936,Kihikihi Flat,18321022,18.3210219000
527937,Allen Road,11603673,11.6036731000
528000,Rotongata,211525262,211.5252620000
528200,Ngaruawahia,7590998,7.5909984400
528310,Bryant,2897467,2.8974668300
528320,Pukete,1091685,1.0916847300
528402,Pukete West,839317,0.8393171000
528403,Te Rapa,6002608,6.0026077000
528405,Burbush,6373695,6.3736952200
528406,Rotokauri,4324432,4.3244321700
528501,Nawton,1726131,1.7261307800
528503,Crawshaw,836626,0.8366260000
528504,Grandview,917424,0.9174243200
528505,Brymer,997548,0.9975479700
528601,Dinsdale North,1464122,1.4641216600
528602,Dinsdale South,1564659,1.5646588500
528700,Beerescourt,1414701,1.4147012800
528800,Maeroa,1414152,1.4141515000
528900,Frankton Junction,3103450,3.1034499000
529000,Swarbrick,1559793,1.5597928900
529100,Hamilton Lake,3587884,3.5878835300
529200,Melville,1852683,1.8526825200
529300,Glenview,2433531,2.4335307000
529401,Queenwood,1859294,1.8592939200
529402,Chedworth,1659485,1.6594849200
529501,Porritt,1131343,1.1313430500
529502,Insoll,762506,0.7625057400
529503,Fairview Downs,1152721,1.1527212500
529600,Chartwell,1594485,1.5944853900
529700,Hamilton Central,2696954,2.6969540400
529800,Clarkin,1285482,1.2854822300
529900,Claudelands,1235634,1.2356339500
530000,Enderley,1576689,1.5766890100
530100,Peachgrove,1488399,1.4883987000
530200,Hamilton East,1584662,1.5846622700
530300,Naylor,2354849,2.3548494300
530400,Bader,1832965,1.8329645300
530500,University,1839378,1.8393778400
530600,Silverdale,1106655,1.1066547500
530700,Hillcrest West,1137828,1.1378277400
530800,Riverlea,1739589,1.7395886100
531001,Te Awamutu West,990038,0.9900384600
531002,Te Awamutu Central,2239068,2.2390678200
531003,Te Awamutu East,3506293,3.5062933800
531004,Te Awamutu South,1886855,1.8868546000
531100,Kawhia Community,918373,0.9183726200
531200,Otorohanga,3935394,3.9353939700
531301,Otorohanga Rural West,735340484,735.3404840000
531303,Te Kawa,54826041,54.8260410000
531304,Otorohanga Rural East,1204025534,1204.0255300000
531500,Piopio,1682404,1.6824040200
531600,Taharoa,68450076,68.4500761000
531710,Mahoenui,733671951,733.6719510000
531720,Marokopa,1233764611,1233.7646100000
531731,Waipa Valley,477675782,477.6757820000
531732,Tiroa,182329733,182.3297330000
531800,Mokauiti,831641607,831.6416070000
532000,Te Kuiti,5573941,5.5739414500
532200,Omori,3389214,3.3892135400
532300,Owhango,926114,0.9261139900
532400,Ohura,3245247,3.2452466100
532501,Ngapuke,1285105340,1285.1053400000
532502,Kuratau,452852572,452.8525710000
532601,Raurimu,1366363205,1366.3632000000
532602,National Park,891858,0.8918575100
532700,Otangiwai-Heao,1345667844,1345.6678400000
532901,Tarrangower,3171408,3.1714076200
532902,Taumarunui Central,6878608,6.8786081700
532903,Sunshine-Hospital Hill,5150935,5.1509347400
532904,Manunui,5039511,5.0395114200
533000,Whitianga,24676990,24.6769899000
533100,Coromandel,19569182,19.5691815000
533200,Te Rerenga,1107356858,1107.3568500000
533300,Whangamata,7810411,7.8104106600
533400,Tairua,5024438,5.0244376800
533501,Moanataiari,6949539,6.9495393800
533502,Parawai,9537169,9.5371690700
533602,Pauanui Beach,5705597,5.7055965400
533603,Hikuai,988397824,988.3978240000
533604,Te Puru-Thornton Bay,22161735,22.1617347000
533800,Ngatea,1726688,1.7266880400
533901,Hauraki Plains,503594178,503.5941770000
533902,Turua,90707984,90.7079842000
533903,Kerepehi,7807420,7.8074202600
534100,Waihi Beach,39166896,39.1668958000
534200,Ohinemuri,562403755,562.4037540000
534300,Paeroa,12378031,12.3780308000
534400,Waihi,10075104,10.0751036000
534500,Tahuroa,321089199,321.0891980000
534602,Waitoa,5869976,5.8699764800
534603,Springdale,434497388,434.4973870000
534604,Waihou-Walton,516058890,516.0588890000
534800,Te Aroha,11588624,11.5886238000
534901,Morrinsville West,3458033,3.4580328000
534902,Morrinsville East,4322596,4.3225963100
535000,Waharoa,528267,0.5282673000
535100,Tirau,896388,0.8963875000
535211,Mangakaretu,10251143,10.2511432000
535212,Kinleith,19551744,19.5517438000
535220,Okauia,209026573,209.0265720000
535231,Te Poi,127920013,127.9200120000
535232,Tapapa,368115338,368.1153380000
535241,Karapiro,298146706,298.1467050000
535242,Hinuera,114806257,114.8062570000
535250,Arapuni,312848514,312.8485140000
535261,Lichfield,327803400,327.8034000000
535262,Wawa,762070754,762.0707540000
535310,Paraonui,2022938,2.0229383800
535320,Parkdale,1185890,1.1858903500
535330,Matarawa,1962157,1.9621572400
535340,Stanley Park,1154711,1.1547114800
535350,Tokoroa Central,1527726,1.5277257700
535360,Aotea,2481053,2.4810530300
535370,Strathmore,1514220,1.5142201200
535380,Amisfield,1315172,1.3151716200
535501,Matamata North,2013985,2.0139850600
535502,Matamata South,4279807,4.2798067700
