left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1169134.335,4750002.215,1180681.346,4760002.219,5.05322,132,"-47.23619, 167.40135",12.069
1169134.335,4760002.219,1180681.346,4770002.224,5.05322,133,"-47.14691, 167.40541",1.201
1169134.335,4870002.271,1180681.346,4880002.275,5.05322,134,"-46.1315, 167.50001",54.732
1169134.335,4880002.275,1180681.346,4890002.28,5.05322,135,"-46.05624, 167.50427",86.288
1169134.335,4890002.28,1180681.346,4900002.285,5.05322,136,"-45.96665, 167.51316",86.288
1169134.335,4900002.285,1180681.346,4910002.289,5.05322,137,"-45.87706, 167.52201",86.288
1169134.335,4910002.289,1180681.346,4920002.294,5.05322,138,"-45.78746, 167.53082",86.288
1169134.335,4920002.294,1180681.346,4930002.299,5.05322,139,"-45.69787, 167.53959",86.288
1169134.335,4930002.299,1180681.346,4940002.303,5.05322,140,"-45.60827, 167.54832",86.288
1169134.335,4940002.303,1180681.346,4950002.308,5.05322,141,"-45.51866, 167.557",86.288
1169134.335,4950002.308,1180681.346,4960002.313,5.05322,142,"-45.42906, 167.56565",86.288
1169134.335,4960002.313,1180681.346,4970002.317,5.05322,143,"-45.33945, 167.57425",86.288
1169134.335,4970002.317,1180681.346,4980002.322,5.05322,144,"-45.24984, 167.58282",86.288
1169134.335,4980002.322,1180681.346,4990002.327,5.05322,145,"-45.16022, 167.59134",86.288
1169134.335,4990002.327,1180681.346,5000002.331,5.05322,146,"-45.07061, 167.59982",86.288
1169134.335,5000002.331,1180681.346,5010002.336,5.05322,147,"-44.98099, 167.60827",86.288
1169134.335,5010002.336,1180681.346,5020002.341,5.05322,148,"-44.89136, 167.61667",86.288
1169134.335,5020002.341,1180681.346,5030002.345,5.05322,149,"-44.8028, 167.62511",83.585
1169134.335,5030002.345,1180681.346,5040002.35,5.05322,150,"-44.71257, 167.63385",80.12
1169134.335,5040002.35,1180681.346,5050002.355,5.05322,151,"-44.64269, 167.67414",19.043
1177794.594,4745002.212,1189341.604,4755002.217,5.05322,152,"-47.25666, 167.50671",45.404
1177794.594,4755002.217,1189341.604,4765002.222,5.05322,153,"-47.2044, 167.52723",25.116
1177794.594,4765002.222,1189341.604,4775002.226,5.05322,154,"-47.10007, 167.5701",4.333
1177794.594,4805002.24,1189341.604,4815002.245,5.05322,155,"-46.75463, 167.60195",0.14
1177794.594,4865002.268,1189341.604,4875002.273,5.05322,156,"-46.17792, 167.62025",39.576
1177794.594,4875002.273,1189341.604,4885002.278,5.05322,157,"-46.10636, 167.61135",86.303
1177794.594,4885002.278,1189341.604,4895002.282,5.05322,158,"-46.01676, 167.62009",86.303
1177794.594,4895002.282,1189341.604,4905002.287,5.05322,159,"-45.92715, 167.62878",86.303
1177794.594,4905002.287,1189341.604,4915002.292,5.05322,160,"-45.83754, 167.63743",86.303
1177794.594,4915002.292,1189341.604,4925002.296,5.05322,161,"-45.74793, 167.64605",86.303
1177794.594,4925002.296,1189341.604,4935002.301,5.05322,162,"-45.65831, 167.65462",86.303
1177794.594,4935002.301,1189341.604,4945002.306,5.05322,163,"-45.56869, 167.66315",86.303
1177794.594,4945002.306,1189341.604,4955002.31,5.05322,164,"-45.47907, 167.67164",86.303
1177794.594,4955002.31,1189341.604,4965002.315,5.05322,165,"-45.38945, 167.6801",86.303
1177794.594,4965002.315,1189341.604,4975002.32,5.05322,166,"-45.29982, 167.68851",86.303
1177794.594,4975002.32,1189341.604,4985002.324,5.05322,167,"-45.2102, 167.69688",86.303
1177794.594,4985002.324,1189341.604,4995002.329,5.05322,168,"-45.12056, 167.70521",86.303
1177794.594,4995002.329,1189341.604,5005002.334,5.05322,169,"-45.03093, 167.71351",86.303
