Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
237600,0.000910115,Waikanae West,Waikanae West,3150,3370,3540,3530,4460,580,760,1080,2030,61.1,4050,380,80,260,20,13,17.1,24,45.6,80,90.8,8.5,1.8,5.8,0.4,11086.26925
238400,0.000477504,Paraparaumu East,Paraparaumu East,1910,1960,2150,2290,2340,410,730,750,440,41,1980,440,110,160,10,17.6,31.4,32,19,98,84.5,18.9,4.9,6.6,0.5,7672.163526
237400,0.000169371,Otaihanga,Otaihanga,560,700,770,770,830,130,210,370,120,46.2,800,110,10,10,0,16.1,25.6,44,14,98,96.3,13,1.3,1.2,0.4,14529.13785
237500,0.000744825,Paraparaumu North,Paraparaumu North,1480,2250,2780,3240,3650,560,850,1200,1040,49.4,3250,400,90,280,30,15.3,23.4,33,28.5,88,89,10.8,2.5,7.7,0.8,10671.73643
237700,0.000161209,Ōtaki Forks,Otaki Forks,650,710,680,740,790,120,160,330,180,50,750,70,10,20,10,15.6,19.9,42,22.3,105,94.1,8.6,1.5,2.1,1,40669.32897
237800,0.000838693,Paraparaumu Central,Paraparaumu Central,2730,3060,3780,3840,4110,670,1210,1120,1110,44.4,3510,620,190,330,30,16.3,29.4,27,27,88,85.3,15.1,4.7,8.1,0.7,10099.60346
238000,0.000601982,Raumati Beach West,Raumati Beach West,2230,2380,2560,2810,2950,570,700,1040,630,45.6,2740,310,60,120,20,19.5,23.7,35,21.5,91,93,10.7,1.9,4.2,0.8,7314.510963
238500,0.000789719,Raumati South,Raumati South,3230,3420,3640,3720,3870,850,950,1550,520,42.6,3590,470,140,130,30,22,24.5,40,13.5,96,92.7,12.1,3.7,3.3,0.7,12575.93165
240200,0.000583616,Postgate,Postgate,2530,2470,2500,2590,2860,620,1090,870,290,34.2,2250,430,400,250,10,21.7,37.9,30,10,101,78.6,15.2,14,8.6,0.5,7644.367902
314600,0.000622388,Lilybrook,Lilybrook,2820,2790,3000,3050,3050,550,930,860,710,41.3,2770,340,60,130,10,18.1,30.4,28,23.3,90,91,11.2,2,4.4,0.4,5636.770185
238600,0.000367311,Paekākāriki,Paekakariki,1720,1800,1660,1740,1800,340,410,780,270,44.8,1620,320,50,50,30,18.7,22.9,43,15.1,92,90,17.5,3,2.6,1.9,16467.13601
240300,0.000612185,Ascot Park,Ascot Park,2780,2920,2790,2720,3000,740,1110,870,280,32.1,1350,880,1290,380,50,24.6,36.9,29,9.4,95,44.9,29.4,42.9,12.5,1.5,5231.592046
242100,0.000610144,Totara Park,Totara Park,3120,2970,2940,2970,2990,630,1010,950,400,36.9,2640,460,130,160,20,20.9,33.9,32,13.3,96,88.5,15.5,4.4,5.3,0.6,5845.05296
238800,0.000416286,Pukerua Bay,Pukerua Bay,1700,1750,1770,1970,2040,420,570,810,250,41.1,1900,290,80,50,30,20.8,27.7,39,12.1,100,92.7,13.9,3.7,2.2,1.3,14740.60749
240900,0.000279564,Ranui Heights,Ranui Heights,1250,1320,1410,1400,1370,250,470,470,180,38.3,860,330,370,140,20,18.1,34.5,34,13,95,62.7,24.2,26.7,10.2,1.5,8288.675856
239000,0.000448936,Plimmerton,Plimmerton,2090,2120,2120,2180,2200,400,580,840,390,43.8,2000,300,70,70,20,18.1,26.2,38,17.8,101,90.7,13.6,3.2,3.3,0.8,12976.13993
