id,port,portId,item,itemId,yearlyItemUnits,yearlyItemUnitsSpread,timeAtSite,proportionToHere
116,Auckland,1,Sea containers + transport,9,326657,10%,"Normal(3,0.5)",0.415939176
117,Bluff,2,Sea containers + transport,9,26419,10%,"Normal(3,0.5)",0.033639864
118,Dunedin,3,Sea containers + transport,9,3049,10%,"Normal(3,0.5)",0.003882355
119,Lyttelton,5,Sea containers + transport,9,67883,10%,"Normal(3,0.5)",0.086436841
120,Marsden Point,6,Sea containers + transport,9,867,10%,"Normal(3,0.5)",0.001103969
121,Napier,7,Sea containers + transport,9,32081,10%,"Normal(3,0.5)",0.040849407
122,Nelson,8,Sea containers + transport,9,13903,10%,"Normal(3,0.5)",0.01770298
123,New Plymouth,9,Sea containers + transport,9,11,10%,"Normal(3,0.5)",1.40E-05
124,Port Chalmers,12,Sea containers + transport,9,25834,10%,"Normal(3,0.5)",0.032894971
125,Tauranga,13,Sea containers + transport,9,242844,10%,"Normal(3,0.5)",0.309218334
126,Timaru,14,Sea containers + transport,9,22102,10%,"Normal(3,0.5)",0.028142938
127,Wellington,15,Sea containers + transport,9,23691,10%,"Normal(3,0.5)",0.030166245
128,Auckland Airport,16,Letters & express parcels,11,40000000,10%,"Normal(1,0.2)",1
129,Auckland,1,Bulk parcels,12,4000000,10%,"Normal(1,0.2)",0.5
130,Tauranga,13,Bulk parcels,12,4000000,10%,"Normal(1,0.2)",0.5
