Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
508420,7.2,Target Road,2.42749332,0.00165007,2.96602258
508510,2.15,Forrest Hill,1.71978485,0.000492729,1.250156379
508520,4.8,Sunnynook,2.01758925,0.001100047,2.379076911
508610,2.4,Monarch Park,1.57411366,0.000550023,1.524667539
508620,5.25,Sunnybrae,1.33414541,0.001203176,3.935103296
508701,21.1,Albany,7.78445942,0.004835623,2.710528614
508703,0.3,Fairview,1.60200184,6.88E-05,0.187265703
508704,3.2,Northcross,1.29997579,0.000733365,2.461584304
508803,1.6,Unsworth Heights,1.80867053,0.000366682,0.884627672
508804,4.9,Pinehill,1.63411422,0.001122965,2.998566404
508805,10.6,Windsor Park,2.68602155,0.00242927,3.94635702
508806,0.2,North Harbour West,2.88130295,4.58E-05,0.069413041
508807,21.1,North Harbour East,5.16259853,0.004835623,4.087089065
508900,NA,Long Bay,10.4540824,0,NA
509000,0.8,Paremoremo East,13.7555118,0.000183341,0.058158505
509100,0.6,Greenhithe,9.12666844,0.000137506,0.065741404
509300,3.3,Narrow Neck,1.73300384,0.000756282,1.904208129
509400,13.65,Mt Victoria,1.84149925,0.003128259,7.412438533
509500,NA,Stanley Bay,1.05776008,0,NA
509701,2.2,Ocean View,1.38202231,0.000504188,1.591870105
509702,8.4,Tuff Crater,2.02721218,0.001925082,4.143621513
509800,2,Northcote South,1.76240916,0.000458353,1.134810262
510010,6,Beachhaven North,1.80836674,0.001375059,3.317911056
510020,1.6,Beachhaven South,1.86035497,0.000366682,0.860050918
510210,2.8,Birkdale North,1.0067602,0.000641694,2.781198542
510220,2,Birkdale South,1.38362038,0.000458353,1.44548319
510401,7.45,Kauri Park,1.89519795,0.001707365,3.930987789
510402,4.1,Chelsea,3.27585252,0.000939623,1.251582596
510500,7.6,Birkenhead East,1.62291411,0.001741741,4.682934207
510700,7.85,Henderson North,2.05829531,0.001799035,3.813835635
510800,20.1,Henderson South,3.12168554,0.004606447,6.438829197
511001,0.8,Tangutu,1.24476503,0.000183341,0.642691577
511002,4,Woodglen,1.42717983,0.000916706,2.802730193
511100,16.2,Glen Eden East,2.50777717,0.003712659,6.459904091
511301,3.8,New Lynn North,0.67068121,0.000870871,5.665881112
511302,0.7,New Lynn South,0.68927259,0.000160424,1.015563378
511303,21.5,Lynnmall,1.70548666,0.004927294,12.60637242
511401,4.9,Fruitvale,1.2961727,0.001122965,3.780360441
511402,2.8,Rewarewa,1.31758508,0.000641694,2.125099959
511601,4.6,Glendene North,1.46570318,0.001054212,3.138425339
511602,0.9,Glendene South,1.09854209,0.000206259,0.819267653
511700,3.8,Kelston Central,1.58018547,0.000870871,2.404781003
511800,2.55,Sunnyvale,2.66141045,0.0005844,0.958138569
511901,3.25,Kaurilands,1.50751952,0.000744823,2.155859315
511902,2.1,Crum Park,1.99287354,0.000481271,1.053754771
512000,2.3,Titirangi South,4.29506585,0.000527106,0.535498193
512100,3.45,Green Bay,2.1683843,0.000790659,1.591046384
512201,1.8,Matipo,1.10854004,0.000412518,1.623757316
512202,0.9,Durham Green,1.60775632,0.000206259,0.559786324
512300,6.2,Te Atatu Central,2.74463029,0.001420894,2.258956342
512401,1.8,Edmonton,1.06446821,0.000412518,1.69098521
512402,0.3,Wakeling,1.36289221,6.88E-05,0.220120122
512500,2.9,Mcleod,2.08022261,0.000664612,1.394081569
512600,0.2,Konini,1.97178174,4.58E-05,0.101431105
512700,1.5,Waima,3.49722017,0.000343765,0.428912086
512801,0.2,Laingholm,4.33396575,4.58E-05,0.046147111
512802,NA,Armour Bay,1.47866857,0,NA
512902,1.3,Otimai,16.8063931,0.000297929,0.077351517
512903,2.5,Parrs Park West,0.71246448,0.000572941,3.50894686
512904,NA,Parrs Park,0.58041013,0,NA
512905,0.4,Oratia West,0.7930335,9.17E-05,0.504392311
512906,1.4,Oratia,1.05996787,0.000320847,1.320794752
513011,1.2,Henderson West,0.73002975,0.000275012,1.643768627
513012,1,Palm Heights,1.33993848,0.000229176,0.74630292
513013,1.4,McLaren Park,0.77535837,0.000320847,1.805616672
513020,0.3,Opanuku,22.6048611,6.88E-05,0.013271482
513101,4.6,Swanson,2.52734164,0.001054212,1.820094255
513102,NA,Swanson South,8.58853692,0,NA
513211,1.9,Urlich,0.63365632,0.000435435,2.998470843
